Outlook,Temperature,Humidity,Wind,Play Tennis
Rainy,Hot,High,FALSE,No
Rainy,Hot,High,TRUE,No
Overcast,Hot,High,FALSE,Yes
Sunny,Mild,High,FALSE,Yes
Sunny,Cool,Normal,FALSE,Yes
Sunny,Cool,Normal,TRUE,No
Overcast,Cool,Normal,TRUE,Yes
Rainy,Mild,High,FALSE,No
Rainy,Cool,Normal,FALSE,Yes
Sunny,Mild,Normal,FALSE,Yes
Rainy,Mild,Normal,TRUE,Yes
Overcast,Mild,High,TRUE,Yes
Overcast,Hot,Normal,FALSE,Yes
Sunny,Mild,High,TRUE,No
Rainy,Cool,High,TRUE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Mild,Normal,FALSE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,Normal,FALSE,Yes
Sunny,Hot,High,FALSE,No
Overcast,Cool,High,FALSE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,TRUE,Yes
Overcast,Hot,Normal,TRUE,Yes
Rainy,Cool,Normal,TRUE,Yes
Sunny,Hot,High,TRUE,No
Rainy,Hot,High,FALSE,No
Sunny,Cool,Normal,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
Overcast,Mild,Normal,TRUE,Yes
Rainy,Hot,Normal,FALSE,No
Sunny,Cool,High,FALSE,Yes
Overcast,Hot,High,TRUE,Yes
Rainy,Mild,High,FALSE,No
Sunny,Hot,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Rainy,Hot,High,TRUE,No
Sunny,Mild,Normal,FALSE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,High,TRUE,No
Sunny,Hot,High,FALSE,No
