Outlook,Temperature,Humidity,Wind,Play Tennis
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
