Outlook,Temperature,Humidity,Wind,Play Tennis
Rainy,Hot,High,FALSE,No
Rainy,Hot,High,TRUE,No
Overcast,Hot,High,FALSE,Yes
Sunny,Mild,High,FALSE,Yes
Sunny,Cool,Normal,FALSE,Yes
Sunny,Cool,Normal,TRUE,No
Overcast,Cool,Normal,TRUE,Yes
Rainy,Mild,High,FALSE,No
Rainy,Cool,Normal,FALSE,Yes
Sunny,Mild,Normal,FALSE,Yes
Rainy,Mild,Normal,TRUE,Yes
Overcast,Mild,High,TRUE,Yes
Overcast,Hot,Normal,FALSE,Yes
Sunny,Mild,High,TRUE,No
Rainy,Mild,Normal,FALSE,Yes
Sunny,Hot,High,FALSE,No
Overcast,Hot,High,TRUE,Yes
Sunny,Cool,High,TRUE,No
Rainy,Cool,High,FALSE,No
Sunny,Hot,Normal,FALSE,Yes
Overcast,Cool,High,TRUE,Yes
Rainy,Mild,High,TRUE,No
Sunny,Mild,Normal,TRUE,Yes
Rainy,Cool,Normal,TRUE,Yes
Overcast,Hot,High,FALSE,Yes
Sunny,Mild,High,FALSE,Yes
Rainy,Mild,Normal,FALSE,Yes
Sunny,Cool,High,FALSE,Yes
Rainy,Cool,High,TRUE,No
Overcast,Mild,Normal,FALSE,Yes
Sunny,Hot,High,TRUE,No
